Quarter,Year,GDP (Rupee Billions),"Agriculture, Forest, Fishing",Industry,Manufactur,Construction,Services,Distribution Trade,Real Estate Activities,Public Admin,Foreign Exchange Earning (Rupee Croses),Foreign Tourists Arrival
1st,2005,13068,2861,2800,2030,1095,5449,1984,1854,1610,9393,1108967
2nd,2005,13455,2901,2861,2073,1139,5588,2048,1900,1639,6257,721024
3rd,2005,13644,2943,2891,2110,1166,5699,2091,1934,1673,6964,838583
4th,2005,13990,2997,2970,2177,1232,,2152,1990,1701,10509,1250037
1st,2006,14341,3007,3042,2230,1254,6062,2222,2123,1717,11910,1267443
2nd,2006,14531,3034,3169,2326,1267,6126,2252,2155,1719,7566,853856
3rd,2006,14995,3067,3267,2411,1286,6262,2343,2201,1718,2970,929458
4th,2006,15349,3075,3368,2494,1348,6438,2423,2281,1733,8970,1396410
1st,2007,15690,3165,3477,2589,1385,6652,2484,2420,1748,14407,1632324
2nd,2007,16027,3203,3504,2608,1410,6740,2521,,1790,8610,934997
3rd,2007,16281,3244,3581,2662,1460,6880,2572,2477,1830,9110,1062034
4th,2007,17095,3340,,2756,1495,7081,2684,2556,1840,13397,1575266
1st,2008,17098,3269,3739,2803,1491,7374,2763,2678,1933,14407,1632324
2nd,2008,17204,3286,3838,2905,1537,7518,,2705,1974,10431,1030108
3rd,2008,17297,3263,3832,2881,1553,7618,2848,2748,2022,12196,1146325
4th,2008,17445,3252,,2847,1512,7849,2842,2858,2149,14260,1473846
1st,2009,17144,3267,3615,2665,1567,8023,2802,3047,2174,13300,1405614
2nd,2009,18065,,3970,2978,1599,8268,2981,3029,2258,11209,997366
3rd,2009,18527,3284,4135,3117,1639,8486,3096,3061,2329,13200,1126558
4th,2009,18930,,4227,3209,1649,8644,3171,3117,,16000,1638161
1st,2010,19425,3369,4304,3269,1692,8865,3260,3254,2351,17746,1634521
2nd,2010,19916,3469,4358,3293,1697,9088,,3320,2367,13627,1085830
3rd,2010,20387,,4440,3344,1701,9240,3470,3367,2403,14742,1259101
4th,2010,20935,3587,4605,3509,1753,9400,3525,3455,2421,18774,1796240
1st,2011,21399,3674,4608,3542,1804,9702,3638,3566,2498,18952,1785510
2nd,2011,21772,3700,4748,3603,1877,10022,3459,4045,2519,16211,1236608
3rd,2011,21455,3703,4469,3346,1960,10153,,4106,2548,18598,1318627
4th,2011,21876,3831,4577,3443,1972,9530,3541,3403,2585,23830,1968477
1st,2012,22260,3785,4783,3708,,9995,3632,3754,,24968,1960168
2nd,2012,22584,3778,4765,3598,,10864,3809,4425,2630,18792,1256349
3rd,2012,22862,3795,4859,3732,1918,11063,3868,4528,2666,22301,1348438
4th,2012,23157,,4865,3713,1956,10352,3895,3780,2677,28426,2012790
1st,2013,23526,3860,4922,3826,2021,10729,3939,4067,2723,30585,2048475
2nd,2013,23874,3952,4922,3804,1982,11662,3954,,2759,21002,1316877
3rd,2013,24266,3986,5005,3851,2003,,,5242,,24782,1449261
4th,2013,24791,4080,5150,3977,2000,11102,4259,4098,2745,31302,2152989
1st,2014,25082,4074,5158,3975,2022,11408,4174,4385,2850,33653,2203901
2nd,2014,25648,4018,5373,4145,2078,,4385,,2906,25481,1505103
3rd,2014,26123,4028,5437,4204,2113,13388,4480,5928,2980,29726,1651006
4th,2014,26518,4011,5434,4157,2079,12200,,4595,3086,34460,2319088
1st,2015,26988,4001,5622,4334,2082,12566,4693,4814,3059,34875,2279706
2nd,2015,27605,4015,5873,4550,2161,13887,4810,5964,3113,29160,1565291
3rd,2015,28182,4035,6058,4687,2133,14768,4881,6717,3170,33808,1773996
4th,2015,28697,,6207,4798,2177,13290,4995,5073,3222,37350,2408140
1st,2016,29378,4090,6377,4953,2194,13758,5251,,3262,40317,2500453
2nd,2016,29841,4202,6476,5003,2224,15178,5220,6592,3366,72432,1664034
3rd,2016,30285,4266,,5069,2218,16017,5253,7272,3492,38480,1989797
4th,2016,30706,4333,6739,5171,2229,14180,,5217,3592,42917,2641323
